FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance,Total ERC20 tnxs,ERC20 total Ether received,ERC20 total ether sent,ERC20 total Ether sent contract,ERC20 uniq sent addr,ERC20 uniq rec addr,ERC20 uniq sent addr.1,ERC20 uniq rec contract addr,ERC20 avg time between sent tnx,ERC20 avg time between rec tnx,ERC20 avg time between rec 2 tnx,ERC20 avg time between contract tnx,ERC20 min val rec,ERC20 max val rec,ERC20 avg val rec,ERC20 min val sent,ERC20 max val sent,ERC20 avg val sent,ERC20 min val sent contract,ERC20 max val sent contract,ERC20 avg val sent contract,ERC20 uniq sent token name,ERC20 uniq rec token name,ERC20 most sent token type,ERC20_most_rec_token_type,transaction_velocity,sent_transaction_ratio,received_transaction_ratio,incoming_counterparty_density,outgoing_counterparty_density,average_total_value,average_sent_value,average_received_value,outgoing_incoming_value_ratio,contract_transaction_ratio,created_contract_ratio,erc20_transaction_ratio,erc20_incoming_outgoing_ratio,erc20_sent_counterparty_density,erc20_received_counterparty_density,activity_hours,transactions_per_hour
0,844.26,1093.71,704785.63,721,89,0,40,118,0.0,45.806785,6.589513,0.0,31.22,1.200681,0.0,0.0,0.0,810,865.6910932,586.4666748,0.0,-279.2244185,265.0,35588543.78,35603169.52,0.0,30.0,54.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,15000000.0,265586.1476,0.0,16830998.35,271779.92,0.0,0.0,0.0,39.0,57.0,Cofoundit,Numeraire,0.0011492856345552901,0.8901234567901235,0.10987654320987654,0.449438202247191,0.1636615811373093,1.7927873679012347,1.2006811278779472,6.5895132,1.4761130178372412,0.0,0.0,0.3271604938271605,1.0004109676442625,0.11320754716981132,0.2037735849056604,11746.427166666666,0.06895713807331742
0,12709.07,2958.44,1218216.73,94,8,0,5,14,0.0,2.613269,0.385685,0.0,1.8,0.032844,0.0,0.0,0.0,102,3.08729702,3.085478209,0.0,-0.001818811,8.0,403.4283054,2.260809454,0.0,1.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,57.632615,2.260809,2.260809,2.260809,0.0,0.0,0.0,1.0,7.0,Livepeer Token,Livepeer Token,8.372894369953366e-05,0.9215686274509803,0.0784313725490196,0.625,0.14893617021276595,0.06051740420588235,0.03284358531914893,0.385684776125,1.0005894745892856,0.0,0.0,0.0784313725490196,0.005603993135182725,0.125,0.625,20303.612166666666,0.00502373662197202
0,246194.54,2434.02,516729.3,2,10,0,10,2,0.113119,1.165453,0.358906,0.05,3.538616,1.7943080000000002,0.0,0.0,0.0,12,3.58861565,3.58905665,0.0,0.000441,8.0,521.5120705,0.0,0.0,0.0,7.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,442.81984000000006,65.189009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,UNKNOWN,XENON,2.3222991225773342e-05,0.16666666666666666,0.8333333333333334,1.0,1.0,0.5981393583333333,1.794307825,0.358905665,0.9998771264867051,0.0,0.0,0.6666666666666666,0.0,0.0,0.875,8612.155,0.0013933794735464004
0,10219.6,15785.09,397555.9,25,9,0,7,13,0.0,500.0,99.48884,0.0,450.0,70.001834,0.0,0.0,0.0,34,1750.0458620000004,895.399559,0.0,-854.6463028999998,14.0,17111.05191,11412.23068,0.0,2.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11412.23068,1555.550174,100.0,9029.23068,3804.076893,0.0,0.0,0.0,1.0,11.0,Raiden,XENON,8.552256424819755e-05,0.7352941176470589,0.2647058823529412,0.7777777777777778,0.52,77.8072182647059,70.00183448000001,99.48883988888889,1.9544859548004316,0.0,0.0,0.4117647058823529,0.6669508537537948,0.14285714285714285,0.7857142857142857,6625.931666666667,0.005131353854891853
0,36.61,10707.77,382472.42,4598,20,1,7,19,0.0,12.802411,2.671095,0.0,9.0,0.022688,0.0,0.0,0.0,4619,104.3188828,53.4218965,0.0,-50.89698629,42.0,162829.6609,123539.9329,0.0,4.0,23.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,90000.0,4934.232147,0.0,45000.0,13726.65922,0.0,0.0,0.0,6.0,27.0,StatusNetwork,EOS,0.01207668777790566,0.9954535613769214,0.004329941545789132,0.35,0.004132231404958678,0.03415041768781121,0.022687882296650717,2.671094825,1.9527364177346267,0.0,0.00021649707728945658,0.009092877246157177,0.758706566218735,0.09523809523809523,0.5476190476190477,6374.540333333333,0.7246012666743396
0,9900.12,375.48,20926.68,2,3,0,2,1,0.7241479999999999,4.813776,3.2349080000000003,4.1668,5.5369160000000015,4.851858,0.0,0.0,0.0,5,9.70371586,9.70472386,0.0,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.00023892944317971125,0.4,0.6,0.6666666666666666,0.5,3.8816879440000003,4.85185793,3.2349079533333334,0.9998961330569999,0.0,0.0,0.0,0.0,0.0,0.0,348.778,0.014335766590782674
0,69.46,629.44,8660.35,25,11,0,9,20,0.049,2.65,1.098115,0.009457,4.284785,0.482496,0.0,0.0,0.0,36,12.0623941,12.079266,0.0,0.016871896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.004156875876841005,0.6944444444444444,0.3055555555555556,0.8181818181818182,0.8,0.6706016694444445,0.48249576400000005,1.0981150909090909,0.9986032346667422,0.0,0.0,0.0,0.0,0.0,0.0,144.33916666666667,0.2494125526104603
0,1497.39,176.84,319828.05,213,5,0,3,3,0.11849,2.0,0.891098,0.0,0.7,0.040861,0.0,0.0,0.0,218,8.703392156,4.45548974,0.0,-4.2479024160000005,7.0,397.951964,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,365.0,56.850281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,UNKNOWN,XENON,0.0006816162622384122,0.9770642201834863,0.022935779816513763,0.6,0.014084507042253521,0.06036184355963303,0.04086099603755868,0.891097948,1.9534086405504774,0.0,0.0,0.03211009174311927,0.0,0.0,0.7142857142857143,5330.4675,0.04089697573430473
0,0.0,0.0,496.62,1,1,0,1,1,2.0,2.0,2.0,1.99938,1.99938,1.99938,0.0,0.0,0.0,2,1.99938,2.0,0.0,0.00062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0040272240344730375,0.5,0.5,1.0,1.0,1.99969,1.99938,2.0,0.99969,0.0,0.0,0.0,0.0,0.0,0.0,8.277,0.24163344206838228
0,2570.59,3336.01,30572.7,8,3,0,2,4,0.1,40.0,16.7,0.1,40.0,18.634625,0.0,0.0,0.0,11,149.077,50.1,0.0,-98.977,1.0,600.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,UNKNOWN,AICRYPTO,0.0003597981205454539,0.7272727272727273,0.2727272727272727,0.6666666666666666,0.5,18.107,18.634625,16.7,2.9755888223552893,0.0,0.0,0.09090909090909091,0.0,0.0,1.0,509.545,0.021587887232727237
